39,A0,77516,B0,13,C0,D0,E0,2174,0,40,0
50,A1,83311,B0,13,C1,D0,E0,0,0,13,0
38,A2,215646,B1,9,C2,D0,E0,0,0,40,0
53,A2,234721,B2,7,C2,D1,E0,0,0,40,0
28,A2,338409,B0,13,C3,D1,E1,0,0,40,0
37,A2,284582,B3,14,C1,D0,E1,0,0,40,0
49,A2,160187,B4,5,C4,D1,E1,0,0,16,0
52,A1,209642,B1,9,C1,D0,E0,0,0,45,1
31,A2,45781,B3,14,C3,D0,E1,14084,0,50,1
42,A2,159449,B0,13,C1,D0,E0,5178,0,40,1
37,A2,280464,B5,10,C1,D1,E0,0,0,80,1
30,A0,141297,B0,13,C3,D2,E0,0,0,40,1
23,A2,122272,B0,13,C0,D0,E1,0,0,30,0
32,A2,205019,B6,12,C5,D1,E0,0,0,50,0
40,A2,121772,B7,11,C6,D2,E0,0,0,40,1
34,A2,245487,B8,4,C7,D3,E0,0,0,45,0
25,A1,176756,B1,9,C8,D0,E0,0,0,35,0
32,A2,186824,B1,9,C9,D0,E0,0,0,40,0
38,A2,28887,B2,7,C5,D0,E0,0,0,50,0
43,A1,292175,B3,14,C1,D0,E1,0,0,45,1
40,A2,193524,B9,16,C3,D0,E0,0,0,60,1
54,A2,302146,B1,9,C4,D1,E1,0,0,20,0
35,A3,76845,B4,5,C8,D1,E0,0,0,40,0
43,A2,117037,B2,7,C7,D0,E0,0,2042,40,0
59,A2,109015,B1,9,C10,D0,E1,0,0,40,0
56,A4,216851,B0,13,C10,D0,E0,0,0,40,1
19,A2,168294,B1,9,C6,D0,E0,0,0,40,0
39,A2,367260,B1,9,C1,D0,E0,0,0,80,0
49,A2,193366,B1,9,C6,D0,E0,0,0,40,0
23,A4,190709,B6,12,C11,D0,E0,0,0,52,0
20,A2,266015,B5,10,C5,D1,E0,0,0,44,0
45,A2,386940,B0,13,C1,D0,E0,0,1408,40,0
30,A3,59951,B5,10,C0,D0,E0,0,0,40,0
22,A0,311512,B5,10,C4,D1,E0,0,0,15,0
48,A2,242406,B2,7,C9,D0,E0,0,0,40,0
21,A2,197200,B5,10,C9,D0,E0,0,0,40,0
19,A2,544091,B1,9,C0,D0,E1,0,0,25,0
31,A2,84154,B5,10,C5,D0,E0,0,0,38,1
48,A1,265477,B6,12,C3,D0,E0,0,0,40,0
31,A2,507875,B4,5,C9,D0,E0,0,0,43,0
53,A1,88506,B0,13,C3,D0,E0,0,0,40,0
24,A2,172987,B0,13,C10,D0,E0,0,0,50,0
49,A2,94638,B1,9,C0,D0,E1,0,0,40,0
25,A2,289980,B1,9,C2,D0,E0,0,0,35,0
57,A3,337895,B0,13,C3,D1,E0,0,0,40,1
53,A2,144361,B1,9,C9,D0,E0,0,0,38,0
44,A2,128354,B3,14,C1,D0,E1,0,0,40,0
41,A0,101603,B7,11,C6,D0,E0,0,0,40,0
29,A2,271466,B7,11,C3,D0,E0,0,0,43,0
25,A2,32275,B5,10,C1,D4,E1,0,0,40,0
18,A2,226956,B1,9,C4,D0,E1,0,0,30,0
47,A2,51835,B10,15,C3,D0,E1,0,1902,60,1
50,A3,251585,B0,13,C1,D0,E0,0,0,55,1
47,A5,109832,B1,9,C1,D0,E0,0,0,60,0
43,A2,237993,B5,10,C10,D0,E0,0,0,40,1
46,A2,216666,B11,3,C9,D0,E0,0,0,40,0
35,A2,56352,B7,11,C4,D0,E0,0,0,40,0
41,A2,147372,B1,9,C0,D0,E0,0,0,48,0
30,A2,188146,B1,9,C9,D0,E0,5013,0,40,0
30,A2,59496,B0,13,C5,D0,E0,2407,0,40,0
48,A2,149640,B1,9,C7,D0,E0,0,0,40,0
42,A2,116632,B9,16,C3,D0,E0,0,0,45,1
29,A2,105598,B5,10,C10,D0,E0,0,0,58,0
36,A2,155537,B1,9,C6,D0,E0,0,0,40,0
28,A2,183175,B5,10,C0,D0,E1,0,0,40,0
53,A2,169846,B1,9,C0,D0,E1,0,0,40,1
49,A5,191681,B5,10,C1,D0,E0,0,0,50,1
19,A2,101509,B5,10,C3,D0,E0,0,0,32,0
31,A2,309974,B0,13,C5,D1,E1,0,0,40,0
29,A1,162298,B0,13,C5,D0,E0,0,0,70,1
23,A2,211678,B5,10,C9,D0,E0,0,0,40,0
79,A2,124744,B5,10,C3,D0,E0,0,0,20,0
27,A2,213921,B1,9,C4,D0,E0,0,0,40,0
40,A2,32214,B6,12,C0,D0,E0,0,0,40,0
18,A2,309634,B2,7,C4,D0,E1,0,0,22,0
31,A4,125927,B8,4,C8,D0,E0,0,0,40,0
18,A2,446839,B1,9,C5,D0,E0,0,0,30,0
52,A2,276515,B0,13,C4,D0,E0,0,0,40,0
46,A2,51618,B1,9,C4,D0,E1,0,0,40,0
59,A2,159937,B1,9,C5,D0,E0,0,0,48,0
44,A2,343591,B1,9,C6,D0,E1,14344,0,40,1
53,A2,346253,B1,9,C5,D0,E1,0,0,35,0
49,A4,268234,B1,9,C11,D0,E0,0,0,40,1
33,A2,202051,B3,14,C3,D0,E0,0,0,50,0
30,A2,54334,B4,5,C5,D0,E0,0,0,40,0
43,A3,410867,B9,16,C3,D0,E1,0,0,50,1
57,A2,249977,B7,11,C3,D0,E0,0,0,40,0
37,A2,286730,B5,10,C6,D0,E1,0,0,40,0
28,A2,212563,B5,10,C9,D1,E1,0,0,25,0
30,A2,117747,B1,9,C5,D2,E1,0,1573,35,0
34,A4,226296,B0,13,C11,D0,E0,0,0,40,1
29,A4,115585,B5,10,C2,D0,E0,0,0,50,0
48,A1,191277,B9,16,C3,D0,E0,0,1902,60,1
37,A2,202683,B5,10,C5,D0,E0,0,0,48,1
48,A2,171095,B6,12,C1,D0,E1,0,0,40,0
32,A3,249409,B1,9,C4,D1,E0,0,0,40,0
76,A2,124191,B3,14,C1,D0,E0,0,0,40,1
44,A2,198282,B0,13,C1,D0,E0,15024,0,60,1
47,A1,149116,B3,14,C3,D0,E1,0,0,50,0
20,A2,188300,B5,10,C10,D0,E1,0,0,40,0
29,A2,103432,B1,9,C6,D0,E0,0,0,40,0
32,A5,317660,B1,9,C6,D0,E0,7688,0,40,1
30,A2,194901,B2,7,C2,D0,E0,0,0,40,0
31,A4,189265,B1,9,C0,D0,E1,0,0,40,0
42,A2,124692,B1,9,C2,D0,E0,0,0,40,0
24,A2,432376,B0,13,C5,D0,E0,0,0,40,0
38,A2,65324,B10,15,C3,D0,E0,0,0,40,1
56,A1,335605,B1,9,C4,D0,E0,0,1887,50,1
